	log_likelihood
1273	-2615.7168
1274	-2609.1084
1275	-2673.46
1276	-2618.0032
1277	-2699.7207
1278	-2674.2405
1279	-2621.5278
1280	-2643.127
1281	-2617.1973
1282	-2637.1484
1283	-2654.9763
1284	-2664.2847
1285	-2633.0254
1286	-2632.2192
1287	-2677.8667
1288	-2621.5618
1289	-2637.2922
1290	-2637.3496
1291	-2638.982
1292	-2705.723
1293	-2616.0916
1294	-2613.5054
1295	-2622.0269
1296	-2617.8472
1297	-2617.8237
1298	-2601.9912
1299	-2617.5618
1300	-2652.4946
1301	-2673.284
1302	-2642.8271
1303	-2616.9646
1304	-2633.3762
1305	-2629.6243
1306	-2622.653
1307	-2602.399
1308	-2645.3545
1309	-2653.9458
1310	-2634.2996
1311	-2616.7046
1312	-2624.6987
1313	-2598.211
1314	-2628.961
1315	-2623.2124
1316	-2675.5312
1317	-2656.5942
1318	-2649.5483
1319	-2620.9148
1320	-2626.706
1321	-2648.7664
1322	-2594.355
1323	-2625.7295
1324	-2640.7983
1325	-2637.8665
1326	-2598.8538
1327	-2668.065
1328	-2656.5183
1329	-2700.9995
1330	-2616.2014
1331	-2647.177
1332	-2669.4016
1333	-2586.2864
1334	-2679.8657
1335	-2629.5906
1336	-2669.3855
1337	-2597.2793
1338	-2654.2632
1339	-2644.3481
1340	-2624.5234
1341	-2625.1592
1342	-2662.7666
1343	-2640.1304
1344	-2618.3264
1345	-2610.6594
1346	-2635.7617
1347	-2616.4685
1348	-2638.6792
1349	-2677.4348
1350	-2620.2454
1351	-2670.0369
1352	-2600.514
1353	-2617.814
1354	-2625.0396
1355	-2665.03
1356	-2663.653
1357	-2627.706
1358	-2607.4275
1359	-2618.4216
1360	-2622.0066
1361	-2619.9453
1362	-2645.565
1363	-2662.7876
1364	-2600.5093
1365	-2632.6428
1366	-2613.4753
1367	-2615.228
1368	-2633.4854
1369	-2659.0327
1370	-2618.5027
1371	-2661.343
1372	-2605.9353
1373	-2621.119
1374	-2701.6372
1375	-2622.999
1376	-2652.1733
1377	-2706.0005
1378	-2634.8442
1379	-2669.0417
1380	-2633.5542
1381	-2706.9858
1382	-2677.964
1383	-2621.6055
1384	-2642.8738
1385	-2636.4844
1386	-2655.2258
1387	-2628.7422
1388	-2657.6528
1389	-2648.7039
1390	-2640.3887
1391	-2667.4944
1392	-2672.573
1393	-2639.1284
1394	-2645.9128
1395	-2693.8489
1396	-2617.2183
1397	-2662.576
1398	-2630.9143
1399	-2638.503
1400	-2610.7522
1401	-2700.4668
1402	-2628.3115
1403	-2610.4985
1404	-2684.5122
1405	-2626.6965
1406	-2630.1902
1407	-2611.721
1408	-2613.3342
1409	-2632.0293
1410	-2675.6401
1411	-2628.8032
1412	-2618.5054
1413	-2633.525
1414	-2630.9934
1415	-2653.0688
1416	-2643.1301
1417	-2707.0825
1418	-2611.7737
1419	-2699.03
1420	-2634.0918
1421	-2637.2046
1422	-2627.4849
1423	-2591.6099
1424	-2651.6409
1425	-2666.9407
1426	-2625.264
1427	-2640.4917
1428	-2631.155
1429	-2612.1575
1430	-2608.6736
1431	-2693.9556
1432	-2701.6948
1433	-2671.1511
1434	-2641.0847
1435	-2624.922
1436	-2613.9792
1437	-2645.2368
1438	-2667.4583
1439	-2642.1064
1440	-2636.725
1441	-2616.4673
1442	-2619.353
1443	-2621.6978
1444	-2645.6304
1445	-2651.1565
1446	-2594.8174
1447	-2630.7173
1448	-2650.958
1449	-2658.6482
1450	-2632.6755
1451	-2651.3423
1452	-2607.1682
1453	-2616.3042
1454	-2655.922
1455	-2654.1733
1456	-2637.1462
1457	-2640.3813
1458	-2685.8562
1459	-2646.9895
1460	-2672.2751
1461	-2618.5378
1462	-2642.7117
1463	-2660.4136
1464	-2653.5574
1465	-2627.8638
1466	-2610.3042
1467	-2652.399
1468	-2616.0679
1469	-2641.9636
1470	-2645.1372
1471	-2630.2583
1472	-2634.2573
1473	-2596.562
1474	-2617.9614
1475	-2673.6956
1476	-2650.125
1477	-2646.4321
1478	-2619.2693
1479	-2620.054
1480	-2681.217
1481	-2604.9956
1482	-2637.2573
1483	-2636.9478
1484	-2668.2793
1485	-2642.6973
1486	-2614.6367
1487	-2628.3745
1488	-2623.0728
1489	-2643.9763
1490	-2657.37
1491	-2629.9663
1492	-2638.6357
1493	-2622.3877
1494	-2611.5125
1495	-2643.0874
1496	-2612.3616
1497	-2630.148
1498	-2670.054
1499	-2602.0417
1500	-2687.1091
1501	-2642.7114
1502	-2620.4692
1503	-2626.6682
1504	-2652.9749
1505	-2605.307
1506	-2636.2334
1507	-2621.9111
1508	-2655.4465
1509	-2614.9785
1510	-2639.3818
1511	-2608.5562
1512	-2654.2495
1513	-2632.4575
1514	-2661.6438
1515	-2616.8567
1516	-2609.2896
1517	-2602.0518
1518	-2601.3804
1519	-2625.2637
1520	-2614.3916
1521	-2630.9395
1522	-2616.9927
1523	-2642.7715
1524	-2634.3625
1525	-2629.2446
1526	-2638.1199
1527	-2609.9868
1528	-2607.5664
1529	-2648.2266
1530	-2626.4421
1531	-2632.1226
