	log_likelihood
1493	-2667.6257
1494	-2609.802
1495	-2607.7915
1496	-2603.32
1497	-2666.8716
1498	-2625.9368
1499	-2622.6099
1500	-2618.7456
1501	-2654.187
1502	-2623.7905
1503	-2640.3757
1504	-2667.0728
1505	-2619.5144
1506	-2648.254
1507	-2650.519
1508	-2621.3528
1509	-2729.33
1510	-2607.3306
1511	-2630.518
1512	-2681.2598
1513	-2659.277
1514	-2643.5735
1515	-2657.153
1516	-2625.8835
1517	-2650.9575
1518	-2662.8828
1519	-2622.588
1520	-2629.1855
1521	-2619.57
1522	-2621.7144
1523	-2691.269
1524	-2625.8381
1525	-2616.6646
1526	-2707.6646
1527	-2621.1245
1528	-2615.499
1529	-2691.9988
